,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
10,0.7031432151794433,0.03990622847074106,0.05645241737365723,0.006050584863964124,295471,1000,10,5,0.5,25,True,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 25, 'bootstrap': True}",0.9276094276094276,0.9188712522045855,0.9065255731922399,0.8977072310405644,0.9241622574955908,0.9149751483084817,0.01121413305303676,42,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.7777777777777778,0.9629629629629629,0.9037037037037037,0.0686934703370052,18
11,0.006535577774047852,0.002182710773078244,0.002459287643432617,0.0002058207262905486,295471,10,20,7,0.25,10,True,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_depth': 10, 'bootstrap': True}",0.9107744107744107,0.9382716049382716,0.91005291005291,0.8941798941798941,0.9435626102292769,0.9193682860349526,0.018642890305449907,27,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.7037037037037037,0.9629629629629629,0.888888888888889,0.09658077637337255,34
12,0.00786285400390625,0.003082354083242871,0.0030870914459228517,0.0014372686804090347,295471,10,20,7,0.5,10,False,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",0.9006734006734007,0.91005291005291,0.9029982363315697,0.9029982363315697,0.8906525573192239,0.9014750681417347,0.006260812499273796,68,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.7777777777777778,0.8518518518518519,0.8666666666666666,0.055431961285539864,81
13,0.05574507713317871,0.002899710985095661,0.009325885772705078,0.002849309149997975,295471,100,20,7,0.5,20,False,"{'random_state': 295471, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': False}",0.9158249158249158,0.8959435626102293,0.9047619047619048,0.8977072310405644,0.8835978835978835,0.8995670995670995,0.010610443724653121,73,0.8888888888888888,0.9259259259259259,0.9259259259259259,0.7777777777777778,0.8518518518518519,0.874074074074074,0.055431961285539864,60
14,0.7230761528015137,0.06446336622247839,0.06479244232177735,0.010521312866375926,295471,1000,10,10,0.75,20,True,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': True}",0.9242424242424243,0.9118165784832452,0.91005291005291,0.8959435626102292,0.9294532627865961,0.914301747635081,0.01174425056542964,44,0.8518518518518519,0.9629629629629629,0.8888888888888888,0.7777777777777778,0.9629629629629629,0.888888888888889,0.07027283689263063,34
15,0.31506977081298826,0.01670022830596853,0.03008136749267578,0.006298308236034906,295471,500,10,5,0.25,20,True,"{'random_state': 295471, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_depth': 20, 'bootstrap': True}",0.9309764309764309,0.9312169312169312,0.908289241622575,0.9100529100529101,0.9347442680776015,0.9230559563892898,0.011428798160555803,10,0.9259259259259259,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9185185185185185,0.05443310539518174,1
16,0.27161784172058107,0.028129648605036132,0.031010818481445313,0.004126898725047924,295471,500,20,5,0.25,25,False,"{'random_state': 295471, 'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_depth': 25, 'bootstrap': False}",0.9410774410774411,0.9206349206349207,0.91005291005291,0.9118165784832452,0.9241622574955909,0.9215488215488217,0.01109869162767545,19,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9111111111111111,0.05543196128553987,7
17,0.5179810047149658,0.025069051497727556,0.0650742530822754,0.0036795569242285323,295471,1000,10,5,0.25,25,False,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_depth': 25, 'bootstrap': False}",0.936026936026936,0.9171075837742505,0.91005291005291,0.9065255731922398,0.9223985890652557,0.9184223184223184,0.010383076229604094,29,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.7777777777777778,0.9259259259259259,0.8962962962962961,0.06372092790401945,32
18,0.006353950500488282,0.0013307998486894342,0.005328607559204101,0.002409676211289816,295471,10,20,5,0.5,25,False,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 25, 'bootstrap': False}",0.904040404040404,0.911816578483245,0.9109347442680776,0.9029982363315696,0.8871252204585538,0.90338303671637,0.008866224746620254,65,0.8888888888888888,0.9259259259259259,0.9259259259259259,0.7777777777777778,0.8148148148148148,0.8666666666666666,0.060178062256562664,81
19,0.08132147789001465,0.011419249621205718,0.011896371841430664,0.004763400211438347,295471,100,10,7,0.5,10,True,"{'random_state': 295471, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}",0.9292929292929293,0.9135802469135802,0.91005291005291,0.8977072310405643,0.9276895943562611,0.9156645823312489,0.011735710804033208,38,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.7777777777777778,0.9629629629629629,0.8962962962962964,0.07181747936913077,23
